,ensembl_gene_id,accession number,id
436,ENSMUSG00000075208,Q8VGS3,Olfr1019
437,ENSMUSG00000108674,Q7TQU5,Olfr1359
438,ENSMUSG00000061875,Q7TR35,Olfr1148
439,ENSMUSG00000051680,Q8VF89,Olfr693
440,ENSMUSG00000093942,Q8VGJ4,Olfr46
441,ENSMUSG00000093942,Q7TRT4,Olfr46
442,ENSMUSG00000054940,Q8VFC2,Olfr137
443,ENSMUSG00000094080,Q60892,Olfr8
444,ENSMUSG00000096289,Q8VEU6,Olfr1484
445,ENSMUSG00000096289,A0A140LI27,Olfr1484
446,ENSMUSG00000063137,E9Q7W1,Olfr177
447,ENSMUSG00000073769,A0A2I3BRQ0,Olfr1331
448,ENSMUSG00000073769,K7N684,Olfr1331
449,ENSMUSG00000049168,A0A0N4SVD5,Olfr449
450,ENSMUSG00000049168,Q8VGW8,Olfr449
451,ENSMUSG00000045306,Q8VFT4,Olfr734
452,ENSMUSG00000059964,Q7TRJ5,Olfr119
453,ENSMUSG00000059473,Q8VH10,Olfr979
454,ENSMUSG00000109212,Q8VGF0,Olfr126
455,ENSMUSG00000075150,Q7TR40,Olfr1137
456,ENSMUSG00000046016,Q5SZS9,Olfr1364
457,ENSMUSG00000075427,E9Q1P2,Olfr288
458,ENSMUSG00000091983,Q8VGP5,Olfr457
459,ENSMUSG00000111869,Q8VGK7,Olfr342
460,ENSMUSG00000047039,Q8VFQ8,Olfr1151
461,ENSMUSG00000063188,Q7TRK4,Olfr107
462,ENSMUSG00000035932,E9Q0Z1,Olfr750
463,ENSMUSG00000075170,A2AVA9,Olfr1097
464,ENSMUSG00000068647,Q8VF39,Olfr1278
465,ENSMUSG00000043827,Q6UAH0,Olfr94
466,ENSMUSG00000043827,A0A286YD85,Olfr94
467,ENSMUSG00000050776,Q8VF84,Olfr1317
468,ENSMUSG00000047545,Q0VBH3,Olfr629
469,ENSMUSG00000047050,E9PW59,Olfr914
470,ENSMUSG00000070875,Q8VFM1,Olfr1100
471,ENSMUSG00000075189,A2AVX9,Olfr1055
472,ENSMUSG00000075189,A0A087WS05,Olfr1055
473,ENSMUSG00000095667,Q8VFF1,Olfr854
474,ENSMUSG00000095667,Q7TRF9,Olfr854
475,ENSMUSG00000111179,Q7TRA0,Olfr996
476,ENSMUSG00000046881,Q7TRY0,Olfr374
477,ENSMUSG00000045421,Q8VGW9,Olfr1390
478,ENSMUSG00000099820,Q7TR85,Olfr1036
479,ENSMUSG00000094878,Q8VFC1,Olfr130
480,ENSMUSG00000095187,Q7TQT4,Olfr1381
481,ENSMUSG00000061210,Q8VF18,Olfr47
482,ENSMUSG00000051200,Q8VFZ3,Olfr513
483,ENSMUSG00000062103,Q7TRB8,Olfr924
484,ENSMUSG00000044213,Q8VF13,Olfr1094
485,ENSMUSG00000075196,Q8VGS0,Olfr1047
486,ENSMUSG00000100899,Q7TR26,Olfr1167
487,ENSMUSG00000063020,L7N1Y8,Olfr194
488,ENSMUSG00000051591,Q8VFM4,Olfr697
489,ENSMUSG00000058515,Q9EQA0,Olfr933
490,ENSMUSG00000094488,Q8VGR6,Olfr393
491,ENSMUSG00000073931,Q8VGW2,Olfr646
492,ENSMUSG00000057801,Q8VEY4,Olfr135
493,ENSMUSG00000075073,Q8VGP1,Olfr1256
494,ENSMUSG00000108931,Q8VF29,Olfr1284
495,ENSMUSG00000096555,Q9EQ91,Olfr944
496,ENSMUSG00000046493,Q8VGX5,Olfr1352
497,ENSMUSG00000046493,A0A0N4SV02,Olfr1352
498,ENSMUSG00000045204,Q7TRG7,Olfr835
499,ENSMUSG00000111517,Q8VG59,Olfr1238
500,ENSMUSG00000047960,Q8VEX5,Olfr186
501,ENSMUSG00000043385,A2AM35,Olfr267
502,ENSMUSG00000056961,Q7TRC1,Olfr919
503,ENSMUSG00000056961,Q8VF78,Olfr919
504,ENSMUSG00000049648,Q8VG87,Olfr273
505,ENSMUSG00000051793,Q8VET7,Olfr284
506,ENSMUSG00000051793,A0A0U1RP76,Olfr284
507,ENSMUSG00000059043,P23275,Olfr15
508,ENSMUSG00000075102,L7MU53,Olfr1221
509,ENSMUSG00000062314,Q7TQQ2,Olfr1505
510,ENSMUSG00000094353,Q60895,Olfr150
511,ENSMUSG00000046150,E9PVZ7,Olfr918
512,ENSMUSG00000046150,Q7TRC2,Olfr918
513,ENSMUSG00000094119,L7N462,Olfr612
514,ENSMUSG00000059366,Q9EQ86,Olfr959
515,ENSMUSG00000078420,A0A1L1STV1,Olfr141
516,ENSMUSG00000052012,Q8VGJ1,Olfr796
517,ENSMUSG00000057903,E9Q1P0,Olfr739
518,ENSMUSG00000059862,Q8VFU6,Olfr826
519,ENSMUSG00000063844,Q8VF40,Olfr1276
520,ENSMUSG00000073997,E9Q519,Olfr521
521,ENSMUSG00000047716,Q8VFT6,Olfr736
522,ENSMUSG00000094588,A0A1L1SRP1,Olfr898
523,ENSMUSG00000094588,L7N1Z5,Olfr898
524,ENSMUSG00000059371,E9Q7E7,Olfr427
525,ENSMUSG00000073954,Q7TRR4,Olfr594
526,ENSMUSG00000049618,Q920Y8,Olfr103
527,ENSMUSG00000049528,Q7TRW1,Olfr429
528,ENSMUSG00000073914,Q8VF06,Olfr677
529,ENSMUSG00000075072,Q8VGN4,Olfr48
530,ENSMUSG00000075204,A2ARY0,Olfr1039
531,ENSMUSG00000075166,A2AVB5,Olfr1104
532,ENSMUSG00000049018,Q8VF22,Olfr368
533,ENSMUSG00000063120,Q8VEZ0,Olfr480
534,ENSMUSG00000063120,A0A0R4J0V9,Olfr480
535,ENSMUSG00000055033,E9Q4G0,Olfr420
536,ENSMUSG00000068819,Q7TR45,Olfr1131
537,ENSMUSG00000068819,A0A1L1SQ35,Olfr1131
538,ENSMUSG00000068816,G3X9L8,Olfr152
539,ENSMUSG00000068816,Q7TR38,Olfr152
540,ENSMUSG00000043354,Q8VH11,Olfr577
541,ENSMUSG00000048101,Q9JHB2,Olfr19
542,ENSMUSG00000094822,E9PV96,Olfr243
543,ENSMUSG00000049674,Q7TRN0,Olfr714
544,ENSMUSG00000063764,Q8VG42,Olfr508
545,ENSMUSG00000057761,L7MTT3,Olfr1022
546,ENSMUSG00000043855,Q7TRV1,Olfr479
547,ENSMUSG00000096069,Q8VGM2,Olfr61
548,ENSMUSG00000096069,A0A1B0GSM2,Olfr61
549,ENSMUSG00000073897,Q7TRM9,Olfr17
550,ENSMUSG00000055971,Q8VGT2,Olfr378
551,ENSMUSG00000073953,F8VQ26,Olfr596
552,ENSMUSG00000094745,Q7TRB1,Olfr954
553,ENSMUSG00000094745,Q9EQB6,Olfr954
554,ENSMUSG00000062128,Q7TRX9,Olfr20
555,ENSMUSG00000109376,Q7TRJ0,Olfr761
556,ENSMUSG00000094422,Q7TS37,Olfr205
557,ENSMUSG00000111454,Q8VF76,Olfr998
558,ENSMUSG00000052058,Q7TRD1,Olfr901
559,ENSMUSG00000062037,Q7TS17,Olfr285
560,ENSMUSG00000109631,Q8VG07,Olfr494
561,ENSMUSG00000069823,Q8VGI1,Olfr1
562,ENSMUSG00000069823,B0QZP2,Olfr1
563,ENSMUSG00000095075,Q7TRI2,Olfr782
564,ENSMUSG00000075379,Q7TRY5,Olfr358
565,ENSMUSG00000075382,Q8VGK0,Olfr353
566,ENSMUSG00000075158,Q7TR55,Olfr1111
567,ENSMUSG00000051095,Q8VFN6,Olfr986
568,ENSMUSG00000094819,A0A1B0GT15,Olfr53
569,ENSMUSG00000094819,Q8VGL8,Olfr53
570,ENSMUSG00000094819,A0A1B0GRH8,Olfr53
571,ENSMUSG00000063615,F8VPZ8,Olfr64
572,ENSMUSG00000063240,Q8VG94,Olfr133
573,ENSMUSG00000063240,G3UXU0,Olfr133
574,ENSMUSG00000050803,Q8VFI7,Olfr866
575,ENSMUSG00000047868,Q8VGC2,Olfr770
576,ENSMUSG00000046678,Q8VEU2,Olfr981
577,ENSMUSG00000044814,E9PWI5,Olfr543
578,ENSMUSG00000063780,A0A0U1RP22,Olfr282
579,ENSMUSG00000063780,A1L1B4,Olfr282
580,ENSMUSG00000048197,A2AVC0,Olfr1153
581,ENSMUSG00000048197,A0A1L1SUW4,Olfr1153
582,ENSMUSG00000063715,Q8VFU2,Olfr816
583,ENSMUSG00000073938,Q9EPN9,Olfr632
584,ENSMUSG00000096229,Q7TRI5,Olfr774
585,ENSMUSG00000073977,E9Q542,Olfr549
586,ENSMUSG00000096840,Q8VG72,Olfr136
587,ENSMUSG00000070855,E9PXB8,Olfr1116
588,ENSMUSG00000070855,A0A1L1SRZ5,Olfr1116
589,ENSMUSG00000062793,A2BHP7,Olfr1158
590,ENSMUSG00000096858,Q8VFI4,Olfr805
591,ENSMUSG00000096858,A0A0N4SW83,Olfr805
592,ENSMUSG00000108534,K9J6X0,Olfr1360
593,ENSMUSG00000055838,Q8VFP4,Olfr357
594,ENSMUSG00000096747,Q7TRH2,Olfr823
595,ENSMUSG00000094673,E9Q5G9,Olfr1354
596,ENSMUSG00000060049,E9Q9Z6,Olfr235
597,ENSMUSG00000063230,Q8VGL3,Olfr535
598,ENSMUSG00000045514,Q8VF31,Olfr460
599,ENSMUSG00000050788,E9Q0Y7,Olfr419
600,ENSMUSG00000094721,Q8VFW3,Olfr1462
601,ENSMUSG00000047626,Q8VGJ0,Olfr791
602,ENSMUSG00000061549,Q7TS04,Olfr301
603,ENSMUSG00000048469,E9PWA8,Olfr564
604,ENSMUSG00000075061,Q8VGN8,Olfr1272
605,ENSMUSG00000062868,Q7TRH0,Olfr830
606,ENSMUSG00000062868,Q8VFJ5,Olfr830
607,ENSMUSG00000095525,Q7TRG8,Olfr834
608,ENSMUSG00000070423,Q8VGZ7,Olfr558
609,ENSMUSG00000094380,Q7TRC9,Olfr904
610,ENSMUSG00000107645,Q7TQT5,Olfr1380
611,ENSMUSG00000047149,A2AVX6,Olfr1052
612,ENSMUSG00000073896,Q9EPG6,Olfr716
613,ENSMUSG00000073896,A0A1B0GR93,Olfr716
614,ENSMUSG00000073896,A0A1B0GR72,Olfr716
615,ENSMUSG00000069421,Q8VFH9,Olfr810
616,ENSMUSG00000110259,A0A1B0GSF4,Olfr65
617,ENSMUSG00000110259,E9PYY9,Olfr65
618,ENSMUSG00000070421,Q8VGV5,Olfr658
619,ENSMUSG00000070421,A0A1B0GRF3,Olfr658
620,ENSMUSG00000075222,Q7TRA1,Olfr988
621,ENSMUSG00000050366,Q7TRU0,Olfr524
622,ENSMUSG00000059687,Q8VFA1,Olfr108
623,ENSMUSG00000059687,F6Z8L7,Olfr108
624,ENSMUSG00000044824,Q9WU94,Olfr545
625,ENSMUSG00000051118,Q8VEY9,Olfr77
626,ENSMUSG00000096365,Q7TQR3,Olfr1463
627,ENSMUSG00000094464,Q8VGK8,Olfr339
628,ENSMUSG00000036744,Q9D3U9,Olfr701
629,ENSMUSG00000095910,Q8VF66,Olfr469
630,ENSMUSG00000075079,L7MU51,Olfr1249
631,ENSMUSG00000063582,Q8VH00,Olfr666
632,ENSMUSG00000044487,A2ATA0,Olfr1112
633,ENSMUSG00000059874,L7N1Y4,Olfr603
634,ENSMUSG00000066242,L7N455,Olfr467
635,ENSMUSG00000066242,Q7TRV2,Olfr467
636,ENSMUSG00000051182,E9Q252,Olfr655
637,ENSMUSG00000075141,A2AVT0,Olfr1160
638,ENSMUSG00000075141,A0A1W5DU97,Olfr1160
639,ENSMUSG00000045392,Q8VFK5,Olfr1033
640,ENSMUSG00000045392,A0A1L1SU63,Olfr1033
641,ENSMUSG00000044454,Q7TRF3,Olfr867
642,ENSMUSG00000044454,A0A1D5RM81,Olfr867
643,ENSMUSG00000096708,Q8VEV6,Olfr1475
644,ENSMUSG00000102091,A0A1L1ST14,Olfr1034
645,ENSMUSG00000058244,Q7TRU6,Olfr506
646,ENSMUSG00000071185,Q7TQU7,Olfr1357
647,ENSMUSG00000094734,Q8VGI7,Olfr799
648,ENSMUSG00000048425,Q8VGX3,Olfr686
649,ENSMUSG00000073924,Q7TRP8,Olfr656
650,ENSMUSG00000073924,Q8VGX9,Olfr656
651,ENSMUSG00000050134,E9Q5F1,Olfr430
652,ENSMUSG00000109497,Q8VFD1,Olfr492
653,ENSMUSG00000044705,Q7TRP3,Olfr670
654,ENSMUSG00000096436,Q7TQR7,Olfr1437
655,ENSMUSG00000109542,Q8VF65,Olfr470
656,ENSMUSG00000075167,Q7TR59,Olfr1101
657,ENSMUSG00000051180,Q8VGL1,Olfr522
658,ENSMUSG00000066061,F7D7G9,Olfr1335
659,ENSMUSG00000066061,B2RVY8,Olfr1335
660,ENSMUSG00000073945,K7N6B3,Olfr618
661,ENSMUSG00000046486,E9Q0M4,Olfr231
662,ENSMUSG00000049280,Q8VF20,Olfr509
663,ENSMUSG00000066897,E9PVW2,Olfr872
664,ENSMUSG00000096773,A0A1B0GSE1,Olfr675
665,ENSMUSG00000096773,Q7TRP1,Olfr675
666,ENSMUSG00000075221,Q8VGC6,Olfr992
667,ENSMUSG00000075221,A0A1L1SQP4,Olfr992
668,ENSMUSG00000058270,Q7TRD6,Olfr25
669,ENSMUSG00000058270,A0A1D5RMF9,Olfr25
670,ENSMUSG00000043274,A2AT85,Olfr1123
671,ENSMUSG00000043274,A0A2I3BR64,Olfr1123
672,ENSMUSG00000064006,K7N5T5,Olfr190
673,ENSMUSG00000062497,Q8VFC4,Olfr1411
674,ENSMUSG00000060878,Q8VF55,Olfr1420
675,ENSMUSG00000053391,Q8VGH2,Olfr211
676,ENSMUSG00000060030,Q5NCD6,Olfr317
677,ENSMUSG00000046431,Q8VEW1,Olfr518
678,ENSMUSG00000094701,Q8VG53,Olfr916
679,ENSMUSG00000055610,Q8VFN8,Olfr307
680,ENSMUSG00000042774,Q8VGU8,Olfr1353
681,ENSMUSG00000059429,Q8VFT2,Olfr365
682,ENSMUSG00000094347,Q8VFZ9,Olfr784
683,ENSMUSG00000044560,Q7TQX4,Olfr1302
684,ENSMUSG00000044560,Q8VGE9,Olfr1302
685,ENSMUSG00000051313,A2ATM2,Olfr1262
686,ENSMUSG00000051313,A0A1L1STZ0,Olfr1262
687,ENSMUSG00000051313,Q8VGN2,Olfr1262
688,ENSMUSG00000059189,E9Q716,Olfr913
689,ENSMUSG00000060254,Q8VH08,Olfr980
690,ENSMUSG00000075093,Q7TQZ8,Olfr1231
691,ENSMUSG00000074995,Q7TS38,Olfr201
692,ENSMUSG00000069430,Q60885,Olfr9
693,ENSMUSG00000109801,Q8VG12,Olfr1316
694,ENSMUSG00000109801,Q7TQW7,Olfr1316
695,ENSMUSG00000043087,Q7TRF8,Olfr855
696,ENSMUSG00000060583,Q7TRE2,Olfr881
697,ENSMUSG00000060583,Q8VF63,Olfr881
698,ENSMUSG00000075383,Q8VGK1,Olfr351
699,ENSMUSG00000075145,Q8VFR3,Olfr1155
700,ENSMUSG00000064223,K7N641,Olfr694
701,ENSMUSG00000094285,L7N1Y2,Olfr743
702,ENSMUSG00000066263,Q8VGY8,Olfr639
703,ENSMUSG00000047702,Q8VFA3,Olfr1388
704,ENSMUSG00000039962,K7N5P3,Olfr906
705,ENSMUSG00000036658,Q60890,Olfr11
706,ENSMUSG00000075119,Q7TR13,Olfr1197
707,ENSMUSG00000045013,Q9EPG2,Olfr711
708,ENSMUSG00000100016,A3KGY3,Olfr1215
709,ENSMUSG00000042219,F8VPJ9,Olfr631
710,ENSMUSG00000074947,Q8VF10,Olfr1312
711,ENSMUSG00000110912,Q7TR67,Olfr1080
712,ENSMUSG00000050478,Q8VGI9,Olfr807
713,ENSMUSG00000059864,Q8VFA7,Olfr1393
714,ENSMUSG00000078118,Q8VG05,Olfr483
715,ENSMUSG00000053815,Q7TRM0,Olfr744
716,ENSMUSG00000068814,A2AVC7,Olfr1145
717,ENSMUSG00000068814,A2AV42,Olfr1145
718,ENSMUSG00000060335,Q7TRX8,Olfr384
719,ENSMUSG00000068535,Q7TS53,Olfr169
720,ENSMUSG00000075198,Q7TR80,Olfr1045
721,ENSMUSG00000056995,Q7TR20,Olfr1178
722,ENSMUSG00000055088,Q8VGJ8,Olfr354
723,ENSMUSG00000067186,Q7TRI8,Olfr132
724,ENSMUSG00000066671,E9Q050,Olfr220
725,ENSMUSG00000073949,Q8VGZ8,Olfr606
726,ENSMUSG00000044985,Q8VGW6,Olfr124
727,ENSMUSG00000081649,Q7TS32,Olfr213
728,ENSMUSG00000061984,Q7TRX6,Olfr392
729,ENSMUSG00000060787,Q5SW48,Olfr464
730,ENSMUSG00000061972,Q8VFE4,Olfr99
731,ENSMUSG00000078080,E9PXW4,Olfr585
732,ENSMUSG00000075078,Q8VGM3,Olfr1250
733,ENSMUSG00000048226,Q7TR08,Olfr1212
734,ENSMUSG00000075085,Q8VGM6,Olfr1242
735,ENSMUSG00000075193,Q7TR76,Olfr1051
736,ENSMUSG00000062873,Q7TQU9,Olfr1355
737,ENSMUSG00000044170,Q8VFA8,Olfr1384
738,ENSMUSG00000059136,Q7TRT1,Olfr539
739,ENSMUSG00000059136,Q8VGL9,Olfr539
740,ENSMUSG00000073915,Q8VGZ9,Olfr676
741,ENSMUSG00000070377,Q7TRX1,Olfr43
742,ENSMUSG00000070377,A0A0U1RPU2,Olfr43
743,ENSMUSG00000109322,Q7TQY4,Olfr1283
744,ENSMUSG00000066257,Q8VGP9,Olfr206
745,ENSMUSG00000070943,Q8VFP5,Olfr356
746,ENSMUSG00000075097,Q8VGM5,Olfr1226
747,ENSMUSG00000075377,Q8VGV7,Olfr362
748,ENSMUSG00000061798,Q7TR10,Olfr1204
749,ENSMUSG00000059303,Q8VFJ3,Olfr836
750,ENSMUSG00000059303,Q7TRG6,Olfr836
751,ENSMUSG00000095774,Q8VFN3,Olfr970
752,ENSMUSG00000110819,Q7TQZ2,Olfr1252
753,ENSMUSG00000063823,Q8VGT4,Olfr532
754,ENSMUSG00000093934,Q9EQ96,Olfr971
755,ENSMUSG00000072709,Q8VGT3,Olfr380
756,ENSMUSG00000062142,Q8VGZ2,Olfr569
757,ENSMUSG00000066896,Q0VAX9,Olfr18
758,ENSMUSG00000066896,A0A2I3BPL2,Olfr18
759,ENSMUSG00000075197,Q7TR79,Olfr1046
760,ENSMUSG00000043529,Q8VFC3,Olfr266
761,ENSMUSG00000096695,E9PYP4,Olfr196
762,ENSMUSG00000110253,Q8VF12,Olfr495
763,ENSMUSG00000060888,A0A1B0GST0,Olfr566
764,ENSMUSG00000060888,Q7TRS5,Olfr566
765,ENSMUSG00000110970,Q8VGA9,Olfr156
766,ENSMUSG00000096566,A2BFL7,Olfr1306
767,ENSMUSG00000073952,L7N224,Olfr597
768,ENSMUSG00000095390,Q8VFN5,Olfr229
769,ENSMUSG00000064044,L7MTY4,Olfr319
770,ENSMUSG00000075117,Q7TR12,Olfr1198
771,ENSMUSG00000075142,A2BHP6,Olfr74
772,ENSMUSG00000049498,Q8VEV8,Olfr1449
773,ENSMUSG00000090951,Q8VGQ7,Olfr181
774,ENSMUSG00000090951,A0A0U1RQ48,Olfr181
775,ENSMUSG00000096424,Q7TRE0,Olfr885
776,ENSMUSG00000096409,A0A1L1SSA5,Olfr890
777,ENSMUSG00000096409,Q7TRD9,Olfr890
778,ENSMUSG00000073964,Q8VH12,Olfr570
779,ENSMUSG00000081724,Q7TRI9,Olfr129
780,ENSMUSG00000081724,Q8VEY1,Olfr129
781,ENSMUSG00000080990,Q7TRJ6,Olfr118
782,ENSMUSG00000056959,Q8VFG7,Olfr315
783,ENSMUSG00000108114,Q8VFH7,Olfr800
784,ENSMUSG00000075064,A2ATW2,Olfr1506
785,ENSMUSG00000070820,Q8VGB1,Olfr1339
786,ENSMUSG00000060688,F8VQ84,Olfr292
787,ENSMUSG00000044120,Q7TRN9,Olfr683
788,ENSMUSG00000044120,Q8VGV1,Olfr683
789,ENSMUSG00000057067,Q7TS07,Olfr297
790,ENSMUSG00000048693,Q8VFS3,Olfr435
791,ENSMUSG00000109835,E9Q8M3,Olfr730
792,ENSMUSG00000109835,A0A0U1RNX7,Olfr730
793,ENSMUSG00000064121,Q8VFE3,Olfr96
794,ENSMUSG00000057447,A2ATJ7,Olfr1205
795,ENSMUSG00000045148,Q7TQZ1,Olfr1255
796,ENSMUSG00000045148,A2AUA4,Olfr1255
797,ENSMUSG00000101078,Q7TR27,Olfr1166
798,ENSMUSG00000094266,Q8VGL0,Olfr340
799,ENSMUSG00000095901,Q7TRT5,Olfr538
800,ENSMUSG00000095696,Q8VFH8,Olfr786
801,ENSMUSG00000058251,Q8VFU1,Olfr822
802,ENSMUSG00000107573,Q8VGX0,Olfr1389
803,ENSMUSG00000094254,Q8VG89,Olfr969
804,ENSMUSG00000094269,Q7TRB2,Olfr951
805,ENSMUSG00000094269,Q9EQ94,Olfr951
806,ENSMUSG00000075125,Q7TR18,Olfr1181
807,ENSMUSG00000075111,A2ATG2,Olfr1213
808,ENSMUSG00000075120,Q7TR14,Olfr1196
809,ENSMUSG00000096703,Q7TQY2,Olfr1286
810,ENSMUSG00000063777,Q8VFW5,Olfr1469
811,ENSMUSG00000067529,Q8VFV0,Olfr1423
812,ENSMUSG00000049041,Q8VFY0,Olfr398
813,ENSMUSG00000059251,Q8VGK4,Olfr345
814,ENSMUSG00000059397,Q8VFE6,Olfr54
815,ENSMUSG00000090894,A2RT31,Olfr110
816,ENSMUSG00000042801,Q8K501,Olfr769
817,ENSMUSG00000075205,Q7TR84,Olfr1037
818,ENSMUSG00000073962,A0A0G2JFH3,Olfr576
819,ENSMUSG00000073962,A0A0G2JDQ4,Olfr576
820,ENSMUSG00000060918,Q8VGG9,Olfr51
821,ENSMUSG00000066273,Q8VGX7,Olfr33
822,ENSMUSG00000050815,Q8VFV3,Olfr1441
823,ENSMUSG00000062105,E9QKE8,Olfr183
824,ENSMUSG00000050015,Q8VFP8,Olfr350
825,ENSMUSG00000075110,A2ATG3,Olfr1214
826,ENSMUSG00000110621,Q8VFJ4,Olfr837
827,ENSMUSG00000096705,L7MTV4,Olfr1329
828,ENSMUSG00000075143,A2AVC4,Olfr1157
829,ENSMUSG00000059134,Q7TRH4,Olfr814
830,ENSMUSG00000048810,Q8VGQ3,Olfr202
831,ENSMUSG00000075201,Q8VFK4,Olfr1043
832,ENSMUSG00000044040,Q8VG11,Olfr1497
833,ENSMUSG00000094986,Q8VFW2,Olfr1454
834,ENSMUSG00000075160,Q7TS20,Olfr259
835,ENSMUSG00000063176,Q9EQ97,Olfr955
836,ENSMUSG00000096220,Q7TRI4,Olfr775
837,ENSMUSG00000108167,Q7TQT0,Olfr1386
838,ENSMUSG00000043310,E9Q407,Olfr571
839,ENSMUSG00000068818,Q8VG97,Olfr1132
840,ENSMUSG00000075136,A2AVT5,Olfr1164
841,ENSMUSG00000070417,Q9QWU6,Olfr2
842,ENSMUSG00000060105,Q7TRU7,Olfr504
843,ENSMUSG00000032987,Q8VET6,Olfr281
844,ENSMUSG00000092292,Q8VEU4,Olfr113
845,ENSMUSG00000063881,Q8VGI2,Olfr376
846,ENSMUSG00000063881,E9Q4M1,Olfr376
847,ENSMUSG00000058692,Q8VET8,Olfr846
848,ENSMUSG00000075075,A2AUA2,Olfr1253
849,ENSMUSG00000049864,A0A1L1STR2,Olfr250
850,ENSMUSG00000049864,E9PV37,Olfr250
851,ENSMUSG00000073893,Q8VG43,Olfr472
852,ENSMUSG00000056281,Q7TQW3,Olfr1322
853,ENSMUSG00000096068,Q8VFD0,Olfr486
854,ENSMUSG00000063374,Q8VGC1,Olfr763
855,ENSMUSG00000062042,F7CWV4,Olfr294
856,ENSMUSG00000062629,Q923Q8,Olfr114
857,ENSMUSG00000045381,Q7TRV9,Olfr433
858,ENSMUSG00000095831,Q7TRV7,Olfr453
859,ENSMUSG00000108948,Q8VFM3,Olfr695
860,ENSMUSG00000052182,Q8VFF6,Olfr849
861,ENSMUSG00000061561,E9Q4J3,Olfr373
862,ENSMUSG00000046643,E9PWV2,Olfr218
863,ENSMUSG00000059105,Q8VFQ4,Olfr1504
864,ENSMUSG00000109806,A0A1B0GSI9,Olfr663
865,ENSMUSG00000067525,Q8VFU9,Olfr1427
866,ENSMUSG00000060205,Q8VGU7,Olfr57
867,ENSMUSG00000075094,Q8VG58,Olfr1230
868,ENSMUSG00000096757,A0A1L1SRQ8,Olfr251
869,ENSMUSG00000096757,E9Q891,Olfr251
870,ENSMUSG00000095608,Q7TS26,Olfr247
871,ENSMUSG00000095608,E9PVJ7,Olfr247
872,ENSMUSG00000064333,Q9EQ98,Olfr926
873,ENSMUSG00000073972,Q7TRS6,Olfr553
874,ENSMUSG00000111239,A0A1L1SSZ5,Olfr1248
875,ENSMUSG00000073974,Q8VG23,Olfr551
